"","x","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58"
"11",11,-0.186685108457316,-0.0476979969826983,-0.11815365161434,-0.209551403513719,0.0234992045290126,-0.034523094042379,-0.094329123506865,0.0360792280630756,-0.0459508789304623,-0.0161950949155781,-0.147726093505333,-0.0913467034037358,-0.117923854803572,0.00770060215731066,-0.061470155087642,-0.0251641946341988,-0.163768252627666,-0.0673739594386076,-0.150604010000179,-0.0561158187258531,-0.0914172631366013,-0.106424859218638,0.0246383115184441,0.0218424900011281,0.00317649816582561,-0.188770442889237,-0.237367503980962,0.0618572923933471,-0.0358447201210209,-0.107676011587004,-0.0653561008546947,-0.0170006628964249,-0.0556059987388018,-0.00331289659564604,-0.0949645012170274,-0.114586385527769,0.0836657367644701,0.015098277470607,-0.120031289568287,0.110109247048126,-0.0142903946290194,-0.132226214594367,0.0222721464580646,0.0513207174342462,-0.0500868904793779,-0.099521839842431,-0.133571523031668,-0.143075271056462,0.00704515158093577,-0.093038349721742,-0.0677942415065453,-0.0216683045048756,0.0464004795566855,0.136960456559582,-0.0516309191060139,-0.053881273480928,-0.100217837995569,-0.0719178646744651
"12",12,-0.0858371630041624,0.00179088937407763,-0.0486777243167605,-0.147483111803811,0.0182764343902985,0.00306560014438768,-0.0775604088733873,0.0673389324463866,-0.0100597452905201,0.0154943578618658,-0.104480520361946,-0.0260541785681889,-0.0545731283111159,0.0490470284594591,-0.0403079071264834,-0.000334857102837128,-0.129403352115562,-0.0912589521968692,-0.0456199091470697,-0.0219299178210072,-0.0469316464488734,-0.138449050218181,0.0347108338370109,0.116604288233338,-0.0193062660804364,-0.11485330475779,-0.191700525716095,0.0876726609306557,0.0703484263780474,-0.0896571900568531,0.029735941946363,-0.00135372223794121,0.0473100952291027,0.0146836036996648,-0.0575303962425276,-0.0823614154716686,0.189652260775833,0.1154370829504,-0.122445855073676,0.133643532672188,0.0923606481451246,-0.0105849570033877,-0.0207668954907466,0.0636970364485782,0.0533725541483175,-0.012684557491393,0.0072701580824582,-0.0236501679436335,0.119038602140929,-0.027920872123574,0.11810470467132,-0.0731270269014169,0.0565846956100537,-0.0255479766855497,0.00744180714054539,-0.0208419160735555,0.00352983328127515,-0.0457888253362507
"13",13,-0.13814650362469,-0.0596266103986035,-0.100752022761984,-0.138136513171449,0.017266316916277,0.00287564162388326,-0.0784150902032293,0.0708087090408533,-0.0272548063688336,0.00375264003697376,-0.0867037544725267,-0.0129996514208152,-0.060069445505219,0.0520687122800103,-0.0222649417395745,0.00996621668075514,-0.128289238476752,-0.0515206271292148,-0.0266680605602321,-0.0196073767136063,-0.0386197796994273,-0.101023476596748,0.130048789826632,0.0609453164277599,0.0267853105113155,-0.108979592630053,-0.214889799917967,0.0590335561863517,-0.0326037899857171,-0.105046330661413,-0.00426263455128827,0.0240238180395167,0.0150818851061428,0.00301730626650547,-0.0728435051060462,-0.0747868124278492,0.0634646849785569,0.00246614981723025,-0.0916317753830655,0.0854642196902994,0.050080563237973,-0.0784662519549324,-0.0034298906123605,0.0367373823304122,0.0207172224960689,-0.0897533109110831,-0.0347693643659724,-0.0505766601582465,0.00989124146752095,-0.118954679343215,-0.0224024100649692,-0.0992970574008525,0.020659496290273,0.108893177635274,-0.0541671823720424,-0.0440489016142886,-0.0345959666497039,-0.0609898917705329
"14",14,0.131363608774888,-0.0655386555232396,-0.0208562627957916,0.0740887473318164,0.0222779024208785,0.148141962529201,0.177042813052187,0.0754767534254466,0.176443361463547,0.150691481681607,0.078988808410871,0.000820642339099966,0.102772147934318,0.101452706503773,0.206374498755962,0.199768354431872,0.107308259110894,0.0732792889547403,0.14405115319317,0.218861369994767,0.0235504224951407,0.17893045416735,-0.17900975317565,-0.158906736304022,-0.0464549873465335,0.0878768938674122,0.188064692735213,-0.0413977296239332,0.0351791326799127,0.149948733076458,0.110976464920523,0.157049443225364,0.0321072546518795,0.0731659378463307,0.141871582374455,0.203828388467317,-0.0667676074635208,-0.0433724073816741,0.10312080322579,-0.0404746286523349,-0.0133531795666615,0.148029713679636,0.0508683629810398,0.112360058807872,0.0814241856572835,0.178068014333592,0.115733458144054,0.204040161732012,0.0484699176825293,0.0935012105449636,-0.00308502204350373,0.128126989569696,0.0945914870091214,0.087217547019272,0.192315744057004,0.259575770939032,0.134235806012418,0.15210609568745
"15",15,-0.201144457222927,0.045888865337877,-0.00175511430062799,-0.128416324869357,0.12349418259089,-0.0190417353172537,-0.0977914888241527,-0.00610552603722133,-0.110780622156559,-0.0666208669757694,-0.0865209719340468,-0.0117523629475486,-0.0566023035048547,0.00111626706429824,-0.0395112034283721,-0.109541817765801,-0.112623144932748,-0.0633819489651049,-0.0442465301473088,-0.0865675010886283,0.0305972201701419,-0.137836651544594,0.0958084976007575,0.100804709112456,0.0860341282508568,-0.0767313853751767,-0.160166362872957,0.11740516717075,0.027148035601586,-0.114022271461057,-0.103252288297815,-0.102177091150046,0.0255267267347681,0.017483254300523,-0.0960812460706501,-0.0932739773512053,0.157138280183954,0.113464193500096,-0.0942653673929596,0.116310217318269,0.0379972306409114,-0.0796995121521278,-0.0443317087188639,-0.0847510537893212,-0.0452551491398331,-0.134176829963376,-0.0278482770012786,-0.101060159747253,0.0690138566109748,-0.108407578752974,0.046570897973997,-0.116534380463887,-0.0413545351031074,-0.102899539598216,-0.0792948781410204,-0.10356896853726,-0.143356684391477,-0.137177486112508
"16",16,0.0988039069271305,0.192227674619241,0.159969021607825,0.0316379141138766,0.217286558380175,0.0832175041895337,0.0127820789989745,0.139601675425415,0.0448879141817299,0.0073498314328967,0.179774281037455,0.214825183391861,0.178145311497286,0.228103341763397,0.184352703360506,0.0597059372008256,0.158289212704041,0.208228072043362,0.170876872674833,0.121166030190409,0.0534393695445147,0.038620663457092,-0.136463101697109,-0.0737077084481171,-0.145346723422153,-0.114592180019314,-0.169560734399226,0.0148066063747181,-0.00820813502444372,-0.0804177694962013,-0.0310085711102925,-0.0411941947593485,-0.0844757553209313,-0.0789745890573595,-0.0482965053561951,-0.028881830272856,-0.0983127642844555,-0.0969795361706007,-0.120551509902715,-0.0560474844889174,-0.104180059347622,-0.0941169132897711,-0.0912770478719234,-0.0425747956123967,-0.0964673753714622,-0.110353730628051,-0.0777893484313655,-0.046374227068006,-0.104531408733878,-0.120205069870542,-0.10280316741791,-0.129542476469258,-0.119214327771915,-0.12450984231784,-0.116054256565799,-0.0624124771562031,-0.137563205683617,-0.0885361671510086
"17",17,-0.135241345346677,-0.203500384547496,-0.178618230871499,-0.167496310954952,-0.138973264601422,-0.106905858949609,-0.107920897894394,-0.111563826430743,-0.0978733265503097,-0.115736540922529,-0.209636292581976,-0.180679400935849,-0.154082388469548,-0.0969071467172152,-0.123151659067798,-0.117895780173573,-0.165100096755123,-0.187046533855419,-0.135795362532747,-0.101663386379787,-0.0738435413795674,-0.0923622433807243,-0.195413418365609,-0.191051137048379,-0.159623511092998,-0.165077906741103,-0.134109404339624,-0.129590272632202,-0.136640426128478,-0.104271635567647,-0.117922298538498,-0.125957344414928,0.0317386192678875,0.0258956095015529,0.0177421108645686,-0.0215682554689682,-0.0649492077379773,-0.0748981061789164,-0.07481946336256,-0.13494085567201,-0.109151743763175,-0.09996313504725,-0.125624115551937,-0.112002157565299,0.0686027712275852,0.0927305464508576,0.0669581154817877,0.062152417936836,0.0611073660168112,0.0952619843676168,-0.0573100230013746,-0.056282078078584,-0.151637385178135,-0.121127565731428,0.21472977475055,0.0924015865633942,0.194275462432496,0.0825431295918967
"18",18,-0.179507516399365,-0.19924884787817,-0.197148256458385,-0.172344959209669,-0.089770642666832,-0.108888206033359,-0.110754682952059,-0.0941405047889552,-0.103396748067889,-0.100062218690087,-0.199505257297905,-0.212433669156093,-0.153217477772457,-0.118690744209233,-0.111272472056781,-0.0766141293302794,-0.186908549395231,-0.159546254577919,-0.142394787061016,-0.113457843635402,-0.136994957116435,-0.136362045998364,-0.206064238404255,-0.163286507856789,-0.208966586477466,-0.174176722835471,-0.198499460896391,-0.093458803650114,-0.0710388330708368,-0.0506876935298983,-0.0718662606969703,-0.0787435482720973,-0.0126030878939888,-0.017815422056589,-0.0883364454931498,-0.0624184083516462,-0.0870374440315034,-0.046959315803449,-0.0471502180057143,-0.0760900948382142,0.0302207688816666,-0.00742241335571677,0.0483157948021049,-0.0289504867799532,0.0299710100867964,0.011674137071219,0.0317175302894719,-0.00859263515257483,0.0886936210308499,0.103528859997661,0.158458223208909,0.155257666048346,0.134909672697635,0.00343785779028224,0.102127381468407,0.0535968564233103,0.216579586870284,0.258005329506008
"19",19,-0.132018444789549,-0.184184008713295,-0.193242195374302,-0.158719663707175,-0.0901287204586743,-0.0713645249980211,-0.0186047746457964,0.0138167865846293,0.0470426222279392,0.135185155538197,-0.181158144078786,-0.178325380211252,-0.104800272180001,-0.0626173809132422,-0.0342177285641678,0.0345131979259925,-0.184737331805498,-0.174423753300578,-0.0907570890819489,-0.0401466561259857,-0.136378645188296,-0.139746975258731,-0.184383690042431,-0.201707301921239,-0.156962681809193,-0.128414260403872,-0.125060756479851,0.0572612145281062,0.0783399318865585,0.0432102723172249,0.156203050807312,0.165255825579582,-0.0561777255856046,-0.0628587986609526,-0.0645112430346862,-0.0698011962652354,-0.121882693479078,-0.116035623379064,-0.143298514523675,-0.0706856103537022,-0.0132036942632169,-0.0155210198881864,0.165317237392685,0.2105804207208,-0.038901779130267,-0.0580176261652115,-0.0375730741685691,-0.0380896480489001,-0.0917576471227744,-0.148043540674407,-0.0761517539011466,-0.0832731320967894,0.028157410475666,0.260815484909362,-0.0728195749317744,-0.0564075085117699,-0.144380700197711,-0.100741007923884
"20",20,-0.132025144486226,-0.203535537809065,-0.172846653426771,-0.180507694078972,-0.107641042203468,-0.0936867560481991,-0.0771015496473689,-0.0754810448191552,0.0127303173708252,0.0482533819048405,-0.185567676655352,-0.18926600614107,-0.161160389036585,-0.096771632824152,-0.0821568812837925,-0.0304095314014872,-0.179765139366457,-0.173982025536322,-0.132128582908148,-0.0669176204496908,-0.0620099572993917,-0.0926797280018332,-0.161125173907292,-0.156069849664921,-0.161328707021705,-0.174683599474829,-0.140408983907947,-0.0346894483792633,0.00892295823319446,0.0276559936640317,0.108058253451863,0.105546583165945,0.183206022633008,0.115861051823005,0.0395890482276108,0.0602758837243897,-0.105805175222171,-0.110314215277109,-0.13148632028903,-0.0887912978358787,-0.0536196630697347,0.00306128310246207,0.141936134276405,0.155774736994674,0.0923862707464885,0.0511434388821107,0.162827248825659,0.129800325411328,-0.0720032588724301,-0.102956718935724,-0.0973256935727332,-0.0961720769747271,-0.0301959714414122,0.14604936517337,0.0500199505346613,0.13521878307502,-0.0898906159951473,-0.101547481160609
