head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time
29,13,24,13,Random,-9999,71c3aed32b558833,2.509000062942505,0.0819997787475586,1638370488.618,24,happy,sunset,noon,happy,sunset,happy,sunset,noon,happy,sunset,2456.8437736034393,2021-12-01T14:54:48.618000,1638368031.7742264
24,1,19,1,Random,-9999,71c3aed32b558833,3.2160000801086426,0.13499999046325684,1638370491.968,19,pants,watermelon,sunset,pants,watermelon,pants,watermelon,sunset,pants,watermelon,2460.193773508072,2021-12-01T14:54:51.968000,1638368031.7742264
8,6,24,24,Random,-9999,ab2f04f7bdaf5bd4,11.450000047683716,0.14700007438659668,1638370494.038,6,below,sunset,far,sunset,below,below,sunset,far,sunset,below,2462.2637736797333,2021-12-01T14:54:54.038000,1638368031.7742264
24,19,28,28,Random,-9999,71c3aed32b558833,2.059000015258789,0.13700008392333984,1638370494.179,19,watermelon,night,sunset,night,watermelon,watermelon,night,sunset,night,watermelon,2462.4047734737396,2021-12-01T14:54:54.179000,1638368031.7742264
9,12,13,13,Random,-9999,71c3aed32b558833,2.115000009536743,0.370999813079834,1638370496.641,12,fearful,happy,near,happy,fearful,fearful,happy,near,happy,fearful,2464.8667736053467,2021-12-01T14:54:56.641000,1638368031.7742264
4,12,25,25,Random,-9999,ab2f04f7bdaf5bd4,2.6429998874664307,0.1510000228881836,1638370496.823,12,fearful,dawn,socks,dawn,fearful,fearful,dawn,socks,dawn,fearful,2465.0487735271454,2021-12-01T14:54:56.823000,1638368031.7742264
3,11,2,2,Random,-9999,ab2f04f7bdaf5bd4,2.3949999809265137,0.1380000114440918,1638370499.358,11,disgust,shirt,shoes,shirt,disgust,disgust,shirt,shoes,shirt,disgust,2467.583773612976,2021-12-01T14:54:59.358000,1638368031.7742264
12,7,17,7,Random,-9999,71c3aed32b558833,2.824000120162964,0.13100004196166992,1638370499.694,17,beside,mango,fearful,beside,mango,beside,mango,fearful,beside,mango,2467.919773578644,2021-12-01T14:54:59.694000,1638368031.7742264
20,1,4,4,Random,-9999,ab2f04f7bdaf5bd4,6.210999965667725,0.1419999599456787,1638370505.714,1,pants,socks,beach,socks,pants,pants,socks,beach,socks,pants,2473.9397735595703,2021-12-01T14:55:05.714000,1638368031.7742264
1,6,17,6,Random,-9999,ab2f04f7bdaf5bd4,2.1689999103546143,0.14300012588500977,1638370508.026,17,below,mango,pants,below,mango,below,mango,pants,below,mango,2476.25177359581,2021-12-01T14:55:08.026000,1638368031.7742264
